itemno;title;description;abe-title;abe-description
00097;Necklace, Grey/ Silver, Mirrored Beads;This necklace is a wonderful jewellery piece in this year's winter fashion trends. The grey and silver mirrored beads are well combined on a two-fold cord (0.6mm thin). The cord si light grey and has two movable knots, which make it easy to adjust the length. The necklace is handmade and designed in Germany.;Kette, grau silber-verspiegelt;Collier passend zur aktuellen Frühjahrs-und Sommermode, hochwertige Steinperle grau-verspiegelt kombiniert mit facettierten Kunststoff-Perlen in grau-tönen, 2-fach 0,6mm Kordel hellgrau, längenverstellbar mittels Schiebeknoten
00098;Pendant, Zodiac Sign, Capricorn, Gold Plated;This pendant is a great personal gift as a symbolic zodiac sign pendant. The gold plated Capricorn pendant has a diameter of 20mm. The period of Capricorn lies between December 22 and January 19. The backside is flat and glossy. The small eyelet is perfect for wearing the pendant on a thin, elegant chain. Find a wonderful gold plated chain necklace in our gold plated assortment of chains and necklaces. The pendant is well finished and has a great quality.;Sternzeichen, Steinbock, vergoldet;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen - Steinbock -, Rückseite flach und glänzend mit kleiner Öse
00099;collier, anchor chain, turquoise marbled;A very fashionable necklace with decorative plastic beads (25x35mm) which are shiny turquoise-marbled on a gray aluminium chain. An eye-catcher on any occasion.;Kette, Ankerkette, türkis-marmoriert;hochmodisches Collier für die mutige Trägerin, sehr dekoratives Kunststoff-Teil 25x35mm in türkis-marmoriert-glänzend, kombiniert mit Aluminium-Ankerkette in grau-matt
00102;;;Brosche, Maus, silber-matt;ausgefallenen Brosche in Form einer Maus mit Stein aus Kunststoff-facettiert, kristall
00104;necklace, curb chain with beads;This is a very fashionable necklace with summary turquoise-blue plasic beads. Combined with an aluminum silver-coloured curb chain (18mm) this is a chic composition for any occasion.;Kette, Weitpanzer, blau-türkis;hochmodisches Collier in aktueller Sommerfarbe türkis-blau, ausgefallene Kunststoffteile kombiniert mit Weitpanzer-Aluminiumkette 18mm breit in silber-hell
00105;Brooch, Mouse Shape, Bright Green;This unique and eyecatching brooch measures 35x20mm. It is shaped like a mouse with a stone on its surface. The brooch is made of faceted plastic material and it has a bright green colour.;Brosche, Maus, grün mit Stein;ausgefallenen Brosche in Form einer Maus mit Stein aus Kunststoff-facettiert, grün
00106;Brooch, Oval Mouse Shape, Blue with Rhinestone;This unique and eyecatching brooch measures 35x20mm. It is shaped like a mouse with a rhinestone on its surface. The brooch is made of faceted plastic material and it has a blue colour.;Brosche, Maus, blau mit Stein;ausgefallenen Brosche in Form einer Maus mit Stein aus Kunststoff-facettiert, blau
00107;Necklace, White Beads 10mm, Glossy, 40cm;This necklace is classic and timeless for any time of the day. The white, round beads have a diameter of 10mm and the clasp is silver coloured and nickel free with a small extension chain for easily adjusting the length. A great accessory that should never be missing in your jewellery case.;Kette, Perle 10mm weiß-glänzend, 40cm;-
00108;Necklace, curb chain with beads;This is a chic and decorative necklace. The integrated beads (25x35mm) and rings have fresh olive/green summer colours and with the silver-coloured aluminum curb chain (12mm) this necklace results in an extraordinary charming creation.;Kette, Weitpanzer, hellgrün-oliv;sehr dekoratives Collier für die mutige Trägerin in aktuellen Sommerfarben oliv und hellgrün, Aluminium-Weitpanzerkette 12mm breit in silber-hell kombiniert mit ausgefallenen Kunststoffteilen 25x35mm in oliv und hellgrün
00109;Bangle Set, 5 Pieces, Red/Black;The set of bangles compounds 5 separate bangles of red and black colour. The bangles look great together, but they can also be worn separately. It is a great accessory for this year's fashion.;Armreifen, Ringspiel rot-schwarz;modisches Armreifen Ringspiel mit Kunststoffringen 3x dunkelrot und 2x schwarz-matt gespritzt, Innendurchmesser 65mm, gesamt 26mm breit
00110;Clip Earrings, Round, 24mm, White, Matte-Finished;This pair of clip earrings should not be missing in any jewellery case. The earring is slightly vaulted and the surface is matte-finished. The clip itself is silver coloured and of great quality.;Clip, rund, 24mm, weiß-matt;Dieser Clip in zeitlosem Weiß darf in keinem Schmuckkästchen fehlen. Er ist ein wenig gewölbt und die Oberfläche leicht matt.
00111;necklace, glassbead, blue AB;This is a chic and fashionable necklace with blue-AB beads, black long beads and red-transparent glass cube beads. The two-fold silver-colored cord-wire is synthetically covered and has a small extension chain for easily adjusting the length.;Kette, Glasperle, blau-AB, rot, Draht;Collier mit Glasstiften in blau-AB kombiniert mit Glaswürfel in rot-transparent, auf 2-fach Draht silber-farbig kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen
00112;Necklace, Glass Beads, Lilac/ Grey/ Black;This necklace suits perfectly to this year's fashion style. Differently shaped lilac transparent and grey/black beads are well combined. The necklace is beaded on a two-fold, silver-coloured metallic wire cord, which is synthetically coated for a more comfortable feeling when wearing it. The clasp is silver-coloured. Designed and handmade in Germany.;Kette, Glas, flieder-blutstein;filigranes Collier mit Perlen aus hochwertigem transparentem Glas, flieder und blutstein, auf 2-fach Draht silber-farbig kunststoffummantelt, Verschluss silber-farbig
00113;Clip Earrings, Trapezium, Brown Marbled;A very nice pair of clip earrings. The shape is a trapezium, which is light brown/ orange marbled. The clips are gold-coloured and nickelfree.;Clip, Trapez, ocker-marmoriert-glänzend;-
00115;Necklace, Flat Tube Pendant, Curved, Pink/Lilac;Classic and elegant is this necklace with a pink/lilac marbled flat curved tube bead pendant (54x19 cm). The six-fold light pink cord matches perfectly and makes the necklace appear stunning and eye-catching! The clasp is gold-coloured and has an small extension chain (ca. 5cm) for easily adjusting the length. The necklace is handmade and designed in Germany.;Kette, Rohr flach-gebogen altrosa;zeitloses Collier mit Kunststoff-Anhänger 54x19mm rosa-marmoriert-matt, jedes Teil ein Unikat! 6-fach Kordel 1mm rosa, Verschluss silberfarbig mit Verlängerungskettchen
00116;;;Kette, oliv-hellgrün, Holzperle ocker;Collier mit gravierten Kunststoffperlen in oliv-hellgrün, kombiniert mit ockerfarbigen Holzperlen, 2-fach Kordel 0,6mm oliv, längenverstellbar mittels Schiebeknoten
00117;necklace, beads, mint, white;This is a beautiful and edgy necklace with a mint-transparent pendant bead (22 x 29 mm). It is combined with different shaped mint-coloured and transparent plasic beads on a two-fold white cord (0,6 mm thick). The cord has two movable knots for easily adjusting the length.;Kette, mint-transparent, weiß;Collier mit Kunststoff-Stufenperle in mint-transparent, 22x29mm, kombiniert mit Kunststoffperlen in mint und kristall-transparent, 2-fach Kordel 0,6mm weiß, längenverstellbar mittels Schiebeknoten
