itemno;title;description;gallay title;gallay description
103007-55;NECKLACE, DOUBLE ROMBO CHAIN, SILVER 925, 55CM;;necklace, twin curb chain, silver 925;wide and heavy
105001-42;Necklace, Mariner Chain, Silver 925;This mariner chain necklace has a beautiful satin finish on the front side, while the back is glossy polished. The mariner chain design is rare and looks very chic and eyecatching. The necklace is of high quality and serves as a wonderful gift to a special person! Silver 925.;mariner chain, silver 925;front satin finish, back polished
105001-45;NECKLACE, MARINER CHAIN, SILVER 925, 45CM,  NEW;;mariner chain, silver 925;front satin finish, back polished
105101-19;bracelet, thin mariner chain, silver 925;This is a beautiful and sophisticated bracelet with a doubled diamond cut. It is made of high quality silver 925.;bracelet, thin mariner chain, silver 925;
105101-42;thin mariner chain, silver 925;This is a beautiful and sophisticated necklace with a doubled diamond cut. It is thin and made of high quality silver 925.;thin mariner chain, silver 925;
105101-45;Thin Mariner Chain, Silver 925;A chic necklace with a design of a thin mariner chain. The necklace has a high silver 925 quality and will be a long-lasting jewellery piece for many occasions.;thin mariner chain, silver 925;
105101-50;thin mariner chain, silver 925;This is a beautiful and sophisticated bracelet with a doubled diamond cut. It is very thin and made of high quality silver 925.;thin mariner chain, silver 925;
105102-19;Bracelet, Mariner Chain, Silver 925;This mariner chain bracelet has a beautiful double diamond cut on every chain link. The mariner chain design is rare and looks very chic and eyecatching. The bracelet is of high quality and serves as a wonderful gift to a special person! Silver 925.;bracelet, mariner chain, silver 925;2 sided diamond cut
105102-42;Necklace, Mariner Chain, Silver 925;This mariner chain necklace has a beautiful double diamond cut on every chain link. The mariner chain design is rare and looks very chic and eyecatching. The necklace is of high quality and serves as a wonderful gift to a special person! Silver 925.;necklace, mariner chain, silver 925;2 sided diamond cut
105102-45;Necklace, Mariner Chain, Silver 925;This mariner chain necklace has a beautiful double diamond cut on every chain link. The mariner chain design is rare and looks very chic and eyecatching. The necklace is of high quality and serves as a wonderful gift to a special person! Silver 925.;necklace, mariner chain, silver 925;2 sided diamond cut
105102-50;Necklace, Mariner Chain, Silver 925;This mariner chain necklace has a beautiful double diamond cut on every chain link. The mariner chain design is rare and looks very chic and eyecatching. The necklace is of high quality and serves as a wonderful gift to a special person! Silver 925.;necklace, mariner chain, silver 925;2 sided diamond cut
105401-42;necklace, thin scroll chain, silver 925;This is a beautiful and sophisticated necklace with a doubled diamond cut. It is very thin and made of high quality silver 925.;necklace, thin scroll chain, silver 925;
105401-45;necklace, thin scroll chain, silver 925;This is a beautiful and sophisticated necklace with a doubled diamond cut. It is very thin and made of high quality silver 925.;necklace, thin scroll chain, silver 925;
105501-19;bracelet, thin scroll chain, silver 925;This is a beautiful and sophisticated bracelet with a doubled diamond cut. It is very thin and  made of high quality silver 925.;bracelet, thin scroll chain, silver 925;
105501-42;necklace, thin scroll chain, silver 925;This is a beautiful and sophisticated thin scroll chain necklace which has a chic design and a diamond cut. It is made of high qualitative silver 925.;necklace, thin scroll chain, silver 925;
105501-45;thin scroll chain, silver 925;This is a beautiful and sophisticated thin scroll chain necklace which has a chic design and a doubled diamond cut. It is made of high qualitative silver 925.;thin scroll chain, silver 925;
105501-50;Necklace, Thin Scroll Chain, Silver 925;A thin and classic scroll chain, which is a popular and fashionable jewellery piece. It is suitable for our Silver 925 pendants and it will always look great on any woman. Silver 925.;thin scroll chain, silver 925;
105801-21;bracelet, scroll chain, silver 925;This is a beautiful and sophisticated bracelet with a doubled diamond cut. It is made of high quality silver 925.;bracelet, scroll chain, silver 925;diamond cut
105801-50;necklace, scroll chain, silver 925;This is a beautiful and sophisticated thin scroll chain necklace which has a chic design and a doubled diamond cut. It is made of high qualitative silver 925.;necklace, scroll chain, silver 925;
105801-55;necklace, scroll chain, silver 925;This is a beautiful and sophisticated thin scroll chain necklace which has a chic design and a doubled diamond cut. It is made of high qualitative silver 925.;necklace, scroll chain, silver 925;
105801-60;Necklace, Scroll Chain, Silver 925;A well finished and classic scroll chain, which is a popular and fashionable jewellery piece. It is suitable for our Silver 925 pendants and it will always look great on any woman. Silver 925.;necklace, scroll chain, silver 925;
106001-19;bracelet, oval herringbone, silver 925;This is a beautiful and sophisticated bracelet with a flat/oval shape. It is made of high quality silver 925.;bracelet, oval herringbone, silver 925;flat
106001-21;Bracelet, Oval Herringbone, Silver 925;This is a beautiful and sophisticated bracelet with a flat/oval shape. It is made of high quality silver 925.;bracelet, oval herringbone, silver 925;flat
106001-42;oval herringbone chain, silver 925;This is a beautiful and sophisticated herringbone chain with a flat/oval shape. It is high qualitatively made of silver 925.;oval herringbone chain, silver 925;
106001-45;oval herringbone chain, silver 925;This is a beautiful and sophisticated herringbone chain with a flat/oval shape. It is high qualitatively made of silver 925.;oval herringbone chain, silver 925;
106001-50;oval herringbone chain, silver 925;This is a beautiful and sophisticated herringbone chain with a flat/oval shape. It is high-qualitatively made of silver 925.;oval herringbone chain, silver 925;flat
106003-45;Chain, Herringbone, 4.5mm, Silver 925;This necklace has the popular design of an oval herringbone chain. The width of the chain is 4.5mm and the entire jewellery piece is of great quality. Silver 925.;chain, herringbone, 4.5mm, silver 925;oval herringbone
