itemno;title;description;gallay-title;gallay-description
02203;;wunderschönes Mode-Collier mit hochwertigen Kunststoffperlen rot, pink und himbeer seidig-glänzend, die Musterstücke sind verbunden mit 2-fach Kordel rot, in Deutschland gefertigte Handarbeit;Kette, pink-rot-himbeer, chrom;Kordel weinrot
02205;;Collier mit Kunststoff-Anhänger Elefant 32x32mm oliv-marmoriert, an 2-fach Kordel oliv, Verschluss vergoldet mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Elefant oliv-marmoriert;Elefant aus Kunststoff, 32x32mm, oliv-marmoriert, an 2-fach Kordel oliv, Verschluss gold-farbig mit Verlängerungskettchen
02207;;Collier mit Kunststoff-Schrägperle in grün seidig-glänzend und transparent-glänzend, auf 2mm Gummi in schwarz, Verschluss silber-farbig mit Verlängerungskettchen;Kette, Schrägperle grün-kristall;Collier mit Kunststoff-Schrägperle in grün seidig-glänzend und transparent-glänzend, auf 2mm Gummi in schwarz, Verschluss silber-farbig mit Verlängerungskettchen
02209;;Collier mit Kunststoff-Schrägperle in rot seidig-glänzend und transparent-glänzend, auf 2mm Gummi in schwarz, Verschluss silber-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Schrägperle rot-kristall;Collier mit Kunststoff-Schrägperle in rot seidig-glänzend und transparent-glänzend, auf 2mm Gummi in schwarz, Verschluss silber-farbig mit Verlängerungskettchen
02213;;dieses Ankercollier hell-kupfer aus Aluminium ist als Einzelstück ein toller Eyecatcher aber auch in Kombination mit zweiter Modeschmuckkette zu tragen, endlos ohne Verschluss;Kette, Anker weit 8mm kupfer-hell-matt;-
02215;;dieses Ankercollier hell-kupfer aus Aluminium ist als Einzelstück ein toller Eyecatcher aber auch in Kombination mit zweiter Modeschmuckkette zu tragen, endlos ohne Verschluss;Kette, Anker weit 8mm kupfer-hell-matt;-
02216;;;Stecker, Hammerschlag, weiß-creme;Ohrstecker mit Kunststoff-Boutonweiß-creme, 14mm, Oberfläche wie gehämmert, Stift rhodiniert
02217;;Ankerkollier aus Aluminium in grün seidig-glänzend 7mm breit;Kette, Anker oval, 7mm, grün-matt;Ankerkollier aus Aluminium in grün seidig-glänzend 7mm breit
02218;;Ankerkollier aus Aluminium in grün seidig-glänzend 7mm breit;Kette, Anker oval, 7mm, grün-matt;Ankerkollier aus Aluminium in grün seidig-glänzend 7mm breit
02219;;dieses Ankercollier grün-matt aus Aluminium ist als Einzelstück ein toller Eyecatcher aber auch in Kombination mit zweiter Modeschmuckkette zu tragen, endlos ohne Verschluss;Kette, Anker weit, 8mm, grün-matt;-
02220;;dieses Ankercollier grün-matt aus Aluminium ist als Einzelstück ein toller Eyecatcher aber auch in Kombination mit zweiter Modeschmuckkette zu tragen, endlos ohne Verschluss;Kette, Anker weit 8mm, grün-matt;-
02228;;100cm Baumwollkordel 1mm stark, schwarz, lüstriert, mit offenem silberfarbigen Verschluss auf einer Seite, Fertigung von höheren Mengen auf Anfrage;Band, 1m Kordel schwarz 1x Verschluss;100cm Baumwollkordel 1mm stark, schwarz, lüstriert, mit offenem silberfarbigen Verschluss auf einer Seite, Fertigung von höheren Mengen auf Anfrage
02230;;;Kette, 8mm Anker weit, silber-matt;Eloxalkette
02231;;hochwertiges Collier aus Messing mit Phantasiemuster, Verschluss silberfarbig, in Deutschland gefertigte Handarbeit;Kette, 45cm, Fantasie 7mm, rhodiniert;-
02238;;dieses Ankercollier rot-metallic und schwarz aus Aluminium ist als Einzelstück ein toller Eyecatcher aber auch in Kombination mit zweiter Modeschmuckkette zu tragen, endlos ohne Verschluss;Kette, Anker weit 8mm rot-schwarz-rot;-
02239;;Ankerkollier aus Aluminium in rot und schwarz 7mm breit, Verschluss silber-farbig;Kette, Anker weit 8mm rot-schwarz-rot;Ankerkollier aus Aluminium in rot und schwarz 7mm breit, Verschluss silber-farbig
02240;;hochwertige Ankerkette, Grundmaterial Tombak, Oberfläche galvanisch altsilber;Kette, Anker, diamantiert rhodiniert;-
02245;;zeitloses Collier mit Kunststoff-Anhänger flaches Rohr 54x19mm oliv-weiß-marmoriert, durch verschiedene Farbdetails jedes Teil ein Unikat! an 6-fach Kordel 1mm oliv-hell, Verschluss silber-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Rohr flach-gebogen, weiß-oliv;zeitloses Collier mit Kunststoff-Teil 54x19mm in oliv-weiß-grün-marmoriert, jedes Teil ein Unikat!, 3-fach Kordel 1,0mm oliv-hell, Verschluss silber-farbig mit Verlängerungskettchen
02248;;großes, aufwendig hergestelltes Kunststoff-Teil, 90x37mm, gelb-matt mit Stab silber-matt, an Kordel gelb;Kette, gelb-matt Stab silber-matt;großes, aufwendig hergestelltes Kunststoff-Teil, 90x37mm, gelb-matt mit Stab silber-matt, an Kordel gelb
02249;;Collier mit Kunststoff-Schrägperle in schildpatt und beige-marmoriert-glänzend, auf 2mm Gummi in schwarz, Verschluss vergoldet, nickelfrei, mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Schrägperle schildpatt-beige;Collier mit Kunststoff-Schrägperle in schildpatt und beige-marmoriert-glänzend, auf 2mm Gummi in schwarz, Verschluss vergoldet, mit Verlängerungskettchen
02252;;Collier aus hochwertigen 12mm Kunststoffperlen rot-perlmutt kombiniert mit kleinen facettierten Kunststoff-Teilen dunkelrot, Verschluss  silber-farbig, in Deutschland gefertigte Handarbeit;Kette, Perle rot-seide, Facettenrad;-
02253;;Collier mit Kunststoff-Schrägperle in rot-transparent-glänzend und schlamm seidig-glänzend, auf 2mm Gummi in schwarz, Verschluss vergoldet mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Schrägperle schlamm-rot;Collier mit Kunststoff-Schrägperle in rot-transparent-glänzend und schlamm seidig-glänzend, auf 2mm Gummi in schwarz, Verschluss vergoldet mit Verlängerungskettchen
02254;;Collier mit Kunststoff-Schrägperle in schlamm seidig-glänzend und transparent-glänzend, auf 2mm Gummi in schwarz, Verschluss silber-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Schrägperle schlamm-kristall;Collier mit Kunststoff-Schrägperle in schlamm seidig-glänzend und transparent-glänzend, auf 2mm Gummi in schwarz, Verschluss silber-farbig mit Verlängerungskettchen
02256;;dekoratives 3-reihiges Collier mit Knochenperle aubergine aus Kunststoff, auf Stahldraht kunststoffummantelt, Verschluss silberfarbig mit Verlängerungskettchen und Perle als Abschluss, in Deutschland gefertigte Handarbeit;Kette, 3-fach, Knochenperle aubergine;mit Draht
