month	fnsku	sku	product-name	average-quantity	end-quantity	fulfillment-center-id	detailed-disposition	country
09/2014	X0008VNW4Z	02632	Earring clip-on 18mm turquoise	2.17	6	LTN1	SELLABLE	GB
09/2014	X0003R7P7T	01131	Necklace mouse antique silver-coloured 90cm	3.0	3	LTN1	SELLABLE	GB
09/2014	X0006JYZ45	202009-90	Belly chain open curb chain gold plated 90cm	3.0	3	LTN1	SELLABLE	GB
09/2014	X0007OBNZ3	91982	Pendant 'love' engraved silver 925	1.0	1	LTN1	SELLABLE	GB
09/2014	X0003R7Q23	90349	Earring leverback horse silver 925	7.0	7	LTN1	SELLABLE	GB
09/2014	X0003R7T11	91967	Earring stud flower silver 925	9.0	9	LTN1	SELLABLE	GB
09/2014	X0005JT9EH	92403	Pendant allah silver 925	10.0	10	LTN1	SELLABLE	GB
09/2014	X0008VNUR9	02669	Earring clip	3.0	3	LTN1	SELLABLE	GB
09/2014	X0008VNSFX	00883	Earrings clip-on trapezium green-gold	4.0	4	LTN1	SELLABLE	GB
09/2014	X0005JTR71	90941	Pendant star of david silver 925	6.0	6	LTN1	SELLABLE	GB
09/2014	X0005JQHZB	01862	Necklace bead chain beads 8mm green-white 45cm	4.0	4	LTN1	SELLABLE	GB
09/2014	X0003R7SWV	91625	Pendant friendship '4ever-2gether' 925	5.0	5	LTN1	SELLABLE	GB
09/2014	X0005JTHXF	90623	Pendant religious medal saint christopher silver 925	3.0	3	LTN1	SELLABLE	GB
09/2014	X0003R7QGJ	90570	Pendant oval feet silver 925	5.0	5	LTN1	SELLABLE	GB
09/2014	X0008VNS5X	04856	Earring clip-on trapezium red-black	2.3	1	LTN1	SELLABLE	GB
09/2014	X0008VNSCV	04115	Earring clip-on trapezium brown	3.0	3	LTN1	SELLABLE	GB
09/2014	X0007OBLEV	90546	Pendant heart zirconias silver 925	2.0	2	LTN1	SELLABLE	GB
09/2014	X0003R7REF	92376	Pendant thor's hammer silver 925	1.3	5	LTN1	SELLABLE	GB
09/2014	X0005JPIDN	92623	Charm horseshoe silver 925	2.33	2	LTN1	SELLABLE	GB
09/2014	X0008VZ6IF	00338	Necklace dark red marbled beads	2.97	2	LTN1	SELLABLE	GB
09/2014	X0007OBBU5	02027	Necklace beads 8mm green shiny 50cm	3.0	3	LTN1	SELLABLE	GB
09/2014	X0005YOAUF	91303	Earring stud tractor silver 925	0.17	0	LTN1	SELLABLE	GB
09/2014	X0005JPQIZ	92356	Pendant baby's christening silver 925	2.0	2	LTN1	SELLABLE	GB
09/2014	X0006JYZ5J	91688	Pendant butterfly silver 925	2.0	2	LTN1	SELLABLE	GB
09/2014	X0005JQOO5	02025	Necklace beads 8mm green shiny 42cm	3.0	3	LTN1	SELLABLE	GB
09/2014	X0006JYZ13	02865	Necklace bear beige & antique brass 90cm	3.0	3	LTN1	SELLABLE	GB
09/2014	X0007OBMPJ	92442	Pendant heart tribal pattern silver 925	2.0	2	LTN1	SELLABLE	GB
09/2014	X0008VNT11	03456	Earring clip-on trapezium light-green	3.0	3	LTN1	SELLABLE	GB
09/2014	X0006L3W6P	00574	Collier wide curb chain jeansblue-matt	2.0	2	LTN1	SELLABLE	GB
09/2014	X0003R7SF3	91313	Pendant my little cat silver 925	4.0	4	LTN1	SELLABLE	GB
09/2014	X0008VNW2R	07241	Earring clip-on trapezium blue	3.0	3	LTN1	SELLABLE	GB
09/2014	X0008VZ61R	07035	Earring clip-on flower light red matte polished	2.0	2	LTN1	SELLABLE	GB
09/2014	X0008VZ6DZ	00333	Necklace dark red marbled beads	3.0	3	LTN1	SELLABLE	GB
09/2014	X000765SEN	90328	Pendant christian sign fish silver 925	2.5	2	LTN1	SELLABLE	GB
09/2014	X0005YOEF1	04860	Earrings clip-on trapezium pink	1.0	1	LTN1	SELLABLE	GB
09/2014	X0008VMYNZ	03212	Earring clip-on round blue plastic	0.67	0	LTN1	SELLABLE	GB
09/2014	X0003R7PV5	90064	Pendant german shepherd silver 925	3.0	3	LTN1	SELLABLE	GB
09/2014	X0006L3W5L	00571	Collier wide curb chain green-matt	2.0	2	LTN1	SELLABLE	GB
09/2014	X0005JSCT5	01049	Necklace beads dark-blue chrome 45cm	3.0	3	LTN1	SELLABLE	GB
09/2014	X0008VNVHX	00130	Earrings clip on purple silky sheen	2.37	2	LTN1	SELLABLE	GB
09/2014	X0008VN367	00264	Necklace drop beige-brown marbled	5.0	5	LTN1	SELLABLE	GB
09/2014	X0007OBMXL	92441	Pendant heart 'i love you' silver 925	3.0	3	LTN1	SELLABLE	GB
09/2014	X0008VNTRP	00387	Earring	3.0	3	LTN1	SELLABLE	GB
09/2014	X0006JYZPT	01457	Necklace black-white panda black cord 90cm	2.0	2	LTN1	SELLABLE	GB
09/2014	X0006JYZNB	02281	Necklace beads 10mm red-black 50cm	2.0	2	LTN1	SELLABLE	GB
09/2014	X0006JYYUP	02389	Necklace beads 12mm green 50cm	3.0	3	LTN1	SELLABLE	GB
